Service_Type,Department,Current_Queue,Available_Staff,Emergency_Cases,Previous_Average_Wait,Day,Hour,Waiting_Time
Bank,Cardiology,52,9,18,50,Saturday,13,71
Government Office,Cardiology,32,4,12,11,Saturday,16,48
Government Office,Cardiology,23,4,13,42,Friday,16,47
Government Office,Cardiology,57,3,8,18,Monday,18,43
Hospital,General,72,11,3,32,Tuesday,16,44
Bank,Customer Service,45,8,22,20,Wednesday,13,70
Government Office,Loan Department,66,1,15,34,Saturday,20,58
Government Office,Loan Department,89,5,4,52,Thursday,9,53
Government Office,General,105,3,11,37,Saturday,11,75
Government Office,Cardiology,72,3,16,38,Saturday,16,92
Government Office,Customer Service,100,1,7,49,Saturday,15,85
Hospital,Loan Department,80,14,14,19,Monday,13,56
Bank,General,23,10,19,33,Tuesday,16,58
Government Office,Emergency,8,7,6,32,Friday,10,10
Bank,Emergency,8,6,11,49,Friday,19,28
Bank,Customer Service,5,8,22,42,Wednesday,16,47
Bank,Emergency,90,9,17,21,Monday,13,76
Bank,Customer Service,12,3,9,5,Saturday,18,15
Bank,Customer Service,97,13,16,39,Wednesday,16,77
Hospital,Emergency,88,8,16,17,Wednesday,20,52
Hospital,Emergency,106,1,13,53,Monday,20,86
Government Office,Emergency,53,14,9,47,Friday,12,40
Government Office,Emergency,109,9,23,41,Saturday,13,106
Bank,Emergency,55,11,6,59,Wednesday,12,46
Bank,General,43,13,10,50,Tuesday,16,40
Government Office,Customer Service,23,12,7,12,Friday,19,5
Hospital,Emergency,113,12,15,37,Tuesday,20,64
Government Office,Loan Department,51,7,16,51,Thursday,20,56
Hospital,General,86,2,1,8,Monday,11,35
Government Office,Loan Department,105,3,14,32,Saturday,9,67
Bank,General,88,1,0,16,Friday,15,57
Hospital,Emergency,6,13,8,14,Monday,14,8
Hospital,Emergency,55,11,12,14,Saturday,9,24
Hospital,Cardiology,43,12,2,24,Saturday,16,22
Government Office,Loan Department,31,5,1,33,Monday,13,33
Government Office,General,6,1,8,16,Wednesday,15,32
Hospital,Emergency,111,1,22,49,Tuesday,10,109
Hospital,Emergency,99,9,22,28,Monday,8,75
Bank,General,42,12,20,58,Friday,16,65
Hospital,Cardiology,77,5,5,34,Friday,20,51
Government Office,General,112,2,2,7,Wednesday,19,43
Hospital,Customer Service,61,6,3,37,Thursday,17,30
Bank,Loan Department,43,2,23,32,Wednesday,15,77
Hospital,Cardiology,69,1,14,24,Wednesday,15,77
Government Office,Customer Service,33,10,17,32,Friday,10,39
Bank,Emergency,42,5,7,38,Saturday,8,41
Bank,General,60,12,5,5,Saturday,11,14
Government Office,Emergency,8,10,13,58,Friday,20,29
Hospital,Cardiology,68,11,9,55,Friday,18,35
Hospital,Cardiology,41,10,4,39,Friday,12,33
Government Office,Customer Service,10,4,17,13,Friday,14,46
Hospital,Loan Department,100,6,3,9,Saturday,20,44
Hospital,Customer Service,109,1,12,38,Wednesday,12,94
Government Office,Emergency,55,3,9,38,Wednesday,14,60
Bank,Customer Service,55,10,16,25,Saturday,20,36
Government Office,Emergency,15,7,3,55,Thursday,19,13
Hospital,General,96,8,2,17,Monday,8,36
Bank,Cardiology,21,3,17,44,Monday,10,61
Bank,Loan Department,28,10,18,41,Friday,13,51
Hospital,Loan Department,21,5,3,58,Tuesday,12,42
Government Office,Cardiology,68,11,20,38,Saturday,10,59
Hospital,Loan Department,25,6,10,43,Saturday,19,41
Government Office,General,9,1,23,24,Monday,19,49
Government Office,Loan Department,21,3,18,30,Friday,13,61
Hospital,General,112,4,5,59,Tuesday,19,65
Government Office,Cardiology,66,8,22,19,Monday,8,56
Hospital,Loan Department,79,9,18,54,Saturday,18,72
Hospital,Customer Service,86,12,18,51,Wednesday,18,66
Hospital,Emergency,11,13,2,52,Tuesday,11,5
Hospital,Loan Department,71,11,4,17,Friday,13,34
Government Office,Cardiology,35,7,15,54,Thursday,20,57
Bank,Customer Service,71,6,9,46,Thursday,18,51
Bank,Emergency,84,12,1,45,Friday,12,42
Bank,Customer Service,98,3,18,54,Friday,16,101
Bank,Loan Department,30,1,7,11,Tuesday,15,49
Hospital,Customer Service,17,8,7,9,Thursday,12,15
Hospital,Emergency,77,1,3,39,Tuesday,19,48
Government Office,Cardiology,38,14,13,8,Saturday,16,31
Bank,Emergency,79,3,7,7,Thursday,13,65
Bank,Customer Service,49,13,18,42,Monday,9,53
Bank,Customer Service,44,1,22,38,Thursday,9,74
Bank,Emergency,70,2,12,51,Monday,19,72
Government Office,Cardiology,38,7,2,12,Saturday,19,7
Hospital,Cardiology,31,6,6,57,Friday,14,45
Bank,Cardiology,69,1,8,34,Wednesday,14,71
Bank,Emergency,23,9,24,26,Friday,12,61
Government Office,Loan Department,59,7,9,14,Tuesday,8,35
Hospital,Customer Service,36,2,13,54,Saturday,11,61
Government Office,Loan Department,114,4,20,28,Monday,19,92
Hospital,Emergency,81,11,22,12,Friday,11,50
Hospital,Emergency,16,7,13,38,Wednesday,9,32
Hospital,Customer Service,109,12,16,19,Tuesday,18,56
Government Office,General,99,1,17,36,Monday,16,105
Hospital,General,54,8,8,10,Monday,15,42
Government Office,Customer Service,48,9,10,5,Saturday,12,39
Hospital,General,48,4,3,22,Saturday,9,21
Hospital,Cardiology,17,3,16,10,Wednesday,10,36
Bank,General,21,10,22,30,Friday,12,54
Government Office,General,37,12,24,59,Saturday,20,61
Bank,General,28,12,10,21,Monday,8,20
Government Office,General,51,9,8,25,Saturday,11,39
Government Office,Cardiology,46,1,4,58,Tuesday,12,59
Hospital,General,32,9,2,51,Wednesday,14,34
Bank,Emergency,112,9,6,45,Thursday,10,55
Hospital,Customer Service,86,5,12,40,Saturday,20,62
Bank,Emergency,42,11,21,26,Saturday,16,61
Government Office,Emergency,104,13,22,49,Thursday,8,77
Government Office,Loan Department,11,4,17,7,Friday,15,43
Government Office,Loan Department,74,12,11,25,Wednesday,19,36
Government Office,Customer Service,104,5,10,39,Tuesday,8,78
Hospital,Loan Department,61,1,21,58,Monday,20,75
Government Office,Cardiology,78,14,12,41,Tuesday,12,59
Hospital,Loan Department,28,2,21,21,Monday,13,68
Government Office,Loan Department,7,6,16,16,Thursday,16,36
Government Office,Customer Service,28,13,10,29,Thursday,13,30
Hospital,Customer Service,69,4,22,32,Wednesday,13,92
Bank,Emergency,108,12,11,31,Monday,8,51
Hospital,Cardiology,38,5,5,11,Tuesday,16,36
Bank,Loan Department,29,1,22,11,Saturday,12,63
Government Office,Cardiology,104,13,6,40,Thursday,18,38
Government Office,Customer Service,77,11,7,37,Monday,10,30
Hospital,Loan Department,90,11,3,44,Wednesday,20,43
Hospital,Cardiology,33,9,1,38,Tuesday,10,20
Bank,Customer Service,48,10,3,30,Friday,14,32
Bank,Cardiology,13,7,4,36,Thursday,15,33
Bank,Customer Service,26,9,16,30,Friday,19,40
Hospital,Loan Department,75,10,24,30,Saturday,19,65
Bank,Cardiology,15,13,20,12,Friday,10,25
Bank,Customer Service,72,12,10,47,Monday,15,64
Bank,Cardiology,51,9,13,54,Wednesday,16,58
Bank,Loan Department,117,2,4,24,Friday,17,60
Government Office,General,37,2,5,31,Saturday,13,58
Bank,Loan Department,19,13,20,50,Friday,9,35
Bank,Loan Department,66,2,13,14,Wednesday,13,67
Government Office,Loan Department,99,14,2,34,Tuesday,20,32
Hospital,Loan Department,111,12,0,21,Thursday,20,39
Government Office,Customer Service,81,2,10,35,Saturday,18,63
Hospital,Cardiology,105,9,17,23,Thursday,18,70
Bank,Loan Department,59,6,21,22,Wednesday,14,77
Bank,Cardiology,12,13,9,12,Saturday,14,15
Hospital,Emergency,115,14,0,47,Wednesday,11,35
Hospital,Customer Service,118,6,21,48,Thursday,15,113
Hospital,Customer Service,41,10,3,41,Monday,16,38
Hospital,General,89,8,9,44,Wednesday,18,45
Government Office,Cardiology,59,8,15,31,Saturday,9,44
Hospital,Emergency,71,12,12,49,Tuesday,20,43
Government Office,Customer Service,104,9,21,59,Monday,17,81
Government Office,Cardiology,98,3,2,53,Friday,12,67
Government Office,Cardiology,95,10,13,21,Saturday,14,65
Bank,Customer Service,57,11,17,8,Tuesday,11,41
Bank,General,118,1,12,24,Tuesday,8,81
Bank,Loan Department,45,9,4,5,Wednesday,18,6
Government Office,Loan Department,26,2,23,49,Monday,8,64
Bank,Cardiology,60,3,20,39,Thursday,18,63
Bank,Cardiology,30,3,18,49,Thursday,19,61
Bank,Customer Service,30,8,4,25,Saturday,14,27
Bank,Emergency,27,10,19,19,Wednesday,11,26
Government Office,Customer Service,45,3,15,43,Wednesday,15,72
Bank,Emergency,114,9,3,19,Thursday,19,45
Bank,Customer Service,31,8,3,38,Saturday,15,37
Bank,Loan Department,28,8,9,8,Friday,20,7
Government Office,Loan Department,113,5,20,45,Friday,14,109
Government Office,Loan Department,64,6,5,41,Tuesday,16,51
Government Office,Cardiology,42,5,19,7,Wednesday,14,64
Government Office,Cardiology,90,4,11,42,Saturday,10,71
Hospital,Emergency,73,13,22,54,Thursday,16,87
Hospital,Customer Service,29,11,18,18,Thursday,12,43
Government Office,Loan Department,104,7,15,26,Monday,13,80
Government Office,General,58,5,7,53,Wednesday,12,56
Bank,Emergency,78,11,1,13,Wednesday,17,10
Government Office,General,15,10,21,21,Monday,8,24
Bank,General,25,5,5,53,Saturday,16,48
Government Office,Emergency,67,9,18,40,Monday,8,58
Government Office,Cardiology,108,7,5,5,Wednesday,9,48
Government Office,General,43,13,24,21,Wednesday,14,57
Government Office,Customer Service,56,5,2,21,Monday,11,24
Hospital,General,80,13,22,5,Monday,8,50
Hospital,General,36,4,17,53,Monday,11,48
Hospital,Emergency,47,4,2,44,Thursday,10,35
Hospital,Loan Department,65,7,3,28,Tuesday,9,37
Government Office,Loan Department,33,3,5,37,Thursday,18,40
Bank,Customer Service,108,13,15,39,Wednesday,13,78
Bank,General,80,11,10,14,Friday,10,40
Government Office,General,27,2,23,26,Thursday,19,64
Hospital,Emergency,61,5,7,11,Friday,10,36
Hospital,Loan Department,20,7,18,55,Saturday,9,46
Bank,General,84,8,0,53,Friday,9,40
Government Office,General,31,12,16,10,Wednesday,12,36
Hospital,Emergency,9,9,13,9,Tuesday,8,10
Government Office,Loan Department,90,5,1,34,Monday,10,36
Bank,Loan Department,72,1,12,24,Thursday,14,81
Government Office,Loan Department,23,6,23,24,Tuesday,14,70
Bank,Customer Service,28,2,9,45,Friday,20,34
Hospital,Loan Department,62,5,8,9,Monday,13,51
Hospital,General,94,4,8,53,Friday,9,62
Bank,General,7,10,1,29,Thursday,18,5
Hospital,Emergency,84,2,23,14,Saturday,10,76
Hospital,Customer Service,43,11,14,42,Saturday,14,54
Government Office,Emergency,95,9,21,24,Friday,11,79
Government Office,Cardiology,34,5,1,26,Saturday,9,23
Bank,Emergency,10,11,9,13,Friday,10,7
Bank,Emergency,63,4,1,33,Friday,16,56
Bank,Cardiology,69,3,24,14,Thursday,11,67
Government Office,Cardiology,52,5,23,26,Saturday,10,66
Bank,Loan Department,102,14,24,49,Wednesday,11,77
Hospital,Emergency,11,1,8,40,Wednesday,11,31
Hospital,General,5,10,3,13,Wednesday,10,5
Government Office,General,52,6,16,14,Wednesday,13,62
Hospital,Emergency,31,6,17,39,Monday,9,48
Government Office,Customer Service,97,11,8,31,Saturday,11,48
Government Office,Emergency,23,8,16,47,Friday,17,33
Hospital,Cardiology,113,8,6,53,Wednesday,11,68
Bank,Customer Service,27,4,14,37,Monday,12,54
Bank,Cardiology,44,11,17,7,Friday,9,26
Bank,General,37,11,15,22,Saturday,17,22
Government Office,Cardiology,42,3,3,17,Saturday,9,19
Hospital,Loan Department,50,3,9,42,Tuesday,15,67
Government Office,Customer Service,55,14,9,21,Wednesday,15,40
Hospital,Customer Service,10,11,24,43,Wednesday,16,52
Hospital,Emergency,41,9,17,25,Saturday,13,48
Bank,Cardiology,65,10,10,42,Monday,9,34
Bank,Cardiology,111,5,14,32,Wednesday,19,66
Government Office,Customer Service,102,6,10,17,Monday,9,58
Government Office,General,111,6,23,8,Thursday,20,73
Hospital,Customer Service,83,1,22,7,Wednesday,19,86
Government Office,Emergency,106,6,20,52,Monday,8,85
Government Office,Loan Department,9,1,9,32,Wednesday,20,33
Hospital,Loan Department,51,4,18,39,Saturday,20,63
Bank,Customer Service,73,1,3,16,Wednesday,11,42
Government Office,General,29,5,19,28,Monday,14,54
Hospital,Customer Service,113,7,13,36,Saturday,16,91
Hospital,Loan Department,53,10,6,20,Monday,17,25
Government Office,Cardiology,117,5,8,10,Friday,8,61
Government Office,Loan Department,45,6,4,46,Tuesday,13,61
Bank,Customer Service,85,12,22,20,Saturday,14,74
Bank,Cardiology,77,13,14,41,Monday,13,71
Bank,Emergency,17,14,19,51,Saturday,14,33
Government Office,General,108,5,1,41,Wednesday,14,68
Hospital,Loan Department,112,2,21,58,Tuesday,13,116
Bank,Emergency,119,4,1,13,Wednesday,19,46
Government Office,Loan Department,32,11,13,43,Wednesday,17,30
Bank,General,19,14,23,12,Tuesday,10,23
Hospital,General,13,1,0,23,Saturday,18,8
Hospital,Cardiology,69,13,17,38,Wednesday,17,58
Bank,General,17,6,0,38,Tuesday,10,9
Hospital,General,33,7,23,30,Saturday,20,62
Government Office,Cardiology,75,13,4,30,Friday,8,25
Hospital,Customer Service,107,5,0,53,Thursday,8,58
Hospital,Loan Department,47,9,2,19,Friday,8,12
Hospital,Loan Department,20,9,21,32,Wednesday,17,42
Government Office,General,60,1,24,26,Wednesday,16,92
Bank,Emergency,109,7,13,33,Friday,10,76
Government Office,Loan Department,23,2,8,49,Thursday,10,36
Government Office,General,108,2,18,52,Wednesday,16,110
Bank,Emergency,100,8,21,10,Friday,9,75
Government Office,Loan Department,83,12,19,53,Thursday,11,55
Hospital,General,86,2,12,49,Tuesday,20,70
Government Office,Cardiology,63,7,3,56,Monday,15,54
Government Office,Cardiology,99,11,10,6,Wednesday,18,42
Government Office,Customer Service,35,12,1,19,Tuesday,19,11
Bank,Customer Service,40,8,8,41,Wednesday,16,35
Bank,General,85,3,4,23,Saturday,17,49
Government Office,Loan Department,33,11,6,32,Tuesday,19,16
Bank,Customer Service,62,1,15,27,Tuesday,20,62
Government Office,Cardiology,25,10,3,46,Saturday,10,22
Hospital,Cardiology,80,10,12,15,Thursday,17,48
Government Office,General,20,8,7,44,Friday,13,41
Bank,Loan Department,14,12,10,19,Saturday,19,8
Bank,Emergency,94,2,17,16,Friday,8,65
Hospital,General,66,6,24,51,Tuesday,8,68
Bank,Customer Service,42,3,0,34,Tuesday,10,21
Bank,Customer Service,114,13,3,11,Monday,17,32
Government Office,Emergency,78,7,20,19,Saturday,13,78
Bank,Customer Service,74,8,19,41,Thursday,14,87
Government Office,Cardiology,80,1,7,5,Tuesday,11,40
Hospital,Customer Service,25,3,14,9,Monday,20,32
Government Office,Emergency,50,2,15,10,Monday,19,42
Government Office,Loan Department,108,13,6,44,Thursday,15,62
Bank,Emergency,106,2,1,12,Wednesday,20,52
Bank,Cardiology,52,11,19,16,Wednesday,13,49
Bank,Cardiology,65,11,9,7,Monday,18,25
Bank,Cardiology,39,4,10,25,Thursday,8,34
Government Office,Customer Service,58,11,15,57,Friday,10,54
Government Office,Cardiology,36,7,14,47,Wednesday,11,50
Hospital,Cardiology,103,3,15,9,Saturday,17,72
Government Office,Cardiology,72,13,18,47,Saturday,16,75
Government Office,General,78,13,10,29,Thursday,9,40
Hospital,General,15,14,1,59,Saturday,15,9
Hospital,General,73,11,4,55,Wednesday,19,36
Government Office,Customer Service,117,10,19,42,Tuesday,13,82
Hospital,Cardiology,18,11,10,22,Tuesday,16,31
Hospital,Loan Department,91,11,20,48,Friday,15,85
Government Office,Customer Service,91,9,24,45,Tuesday,12,97
Government Office,Customer Service,68,7,3,5,Monday,8,20
Hospital,General,80,6,21,54,Saturday,15,100
Hospital,Loan Department,24,2,15,37,Monday,9,49
Hospital,Emergency,63,11,14,16,Saturday,14,62
Bank,Emergency,7,12,23,30,Monday,13,44
Government Office,Cardiology,81,2,4,53,Monday,20,60
Bank,Customer Service,79,8,11,44,Friday,17,54
Bank,Emergency,26,4,7,33,Thursday,18,24
Bank,Emergency,59,14,10,11,Wednesday,11,20
Hospital,Loan Department,63,8,15,31,Monday,20,46
Bank,Cardiology,39,3,19,41,Tuesday,16,80
Hospital,Cardiology,85,7,24,12,Monday,17,70
Hospital,Emergency,16,1,16,46,Wednesday,12,61
Bank,Cardiology,23,14,10,38,Friday,20,13
Government Office,Cardiology,92,10,19,19,Tuesday,13,70
Hospital,Emergency,88,3,4,44,Thursday,12,69
Government Office,Loan Department,97,14,23,14,Saturday,15,75
Hospital,Cardiology,32,1,3,17,Wednesday,14,37
Hospital,Emergency,92,8,22,26,Wednesday,13,91
Hospital,Emergency,35,7,10,32,Friday,9,26
Hospital,Loan Department,14,8,13,28,Wednesday,13,40
Government Office,Customer Service,48,12,22,21,Friday,10,46
Hospital,Customer Service,61,7,9,57,Friday,17,49
Hospital,Loan Department,102,9,21,17,Wednesday,15,90
Government Office,Customer Service,44,1,14,46,Monday,19,49
Bank,Customer Service,43,13,16,36,Saturday,14,48
Government Office,General,89,2,12,20,Saturday,18,69
Bank,Cardiology,67,12,11,42,Friday,16,54
Bank,Cardiology,52,2,15,59,Wednesday,10,72
Hospital,Customer Service,72,11,24,36,Friday,14,80
Hospital,Emergency,117,5,5,23,Tuesday,8,58
Government Office,Emergency,64,10,13,35,Thursday,20,46
Government Office,Cardiology,29,13,5,42,Thursday,15,25
Government Office,Emergency,96,5,2,32,Friday,15,50
Government Office,Loan Department,100,13,5,12,Tuesday,13,46
Government Office,General,76,14,24,10,Wednesday,14,74
Government Office,General,63,12,16,35,Saturday,10,43
Hospital,General,73,14,19,29,Monday,20,62
Government Office,Loan Department,8,13,12,46,Friday,13,42
Hospital,Emergency,53,4,19,17,Saturday,9,52
Bank,Customer Service,19,13,16,28,Friday,8,17
Hospital,Emergency,76,2,12,27,Saturday,17,57
Government Office,Cardiology,115,11,12,43,Friday,17,63
Government Office,Cardiology,117,12,24,20,Monday,12,101
Hospital,Emergency,34,7,12,36,Friday,8,39
Bank,Emergency,97,14,17,17,Wednesday,9,58
Hospital,Emergency,85,8,18,56,Friday,14,93
Government Office,General,56,10,11,35,Friday,16,54
Bank,Customer Service,61,4,8,58,Wednesday,8,50
Hospital,General,48,3,10,38,Tuesday,8,44
Government Office,Customer Service,101,13,13,12,Saturday,19,41
Hospital,General,31,14,11,5,Wednesday,15,16
Bank,Emergency,15,7,10,35,Friday,10,25
Government Office,Customer Service,101,10,20,25,Tuesday,8,63
Bank,Loan Department,68,3,21,12,Saturday,20,61
Bank,Loan Department,53,3,18,15,Saturday,16,66
Bank,Cardiology,67,8,18,43,Friday,9,55
Government Office,General,21,6,18,42,Thursday,19,49
Bank,Customer Service,119,4,3,26,Wednesday,12,68
Bank,Emergency,53,11,3,17,Monday,17,18
Hospital,Customer Service,62,12,2,50,Tuesday,10,32
Bank,Cardiology,60,11,0,46,Monday,15,41
Bank,Customer Service,76,8,15,54,Thursday,19,62
Government Office,Cardiology,42,12,8,51,Monday,11,29
Bank,Loan Department,18,13,24,38,Tuesday,15,48
Government Office,Loan Department,28,14,21,46,Thursday,10,40
Bank,Cardiology,14,3,2,28,Friday,15,32
Hospital,Emergency,71,10,15,53,Tuesday,12,68
Government Office,Cardiology,91,2,19,16,Wednesday,9,85
Government Office,Emergency,8,7,15,59,Thursday,14,52
Bank,Cardiology,34,3,20,29,Thursday,9,51
Government Office,General,53,4,21,25,Friday,11,64
Hospital,Cardiology,19,10,13,56,Monday,13,55
Hospital,Emergency,25,8,24,9,Saturday,16,55
Bank,General,51,7,3,31,Monday,19,25
Bank,Customer Service,25,12,2,26,Tuesday,9,9
Bank,Customer Service,118,10,24,56,Tuesday,15,112
Government Office,General,76,7,10,9,Wednesday,8,38
Bank,Customer Service,97,5,8,52,Wednesday,13,80
Bank,Emergency,69,8,18,34,Tuesday,9,58
Bank,Loan Department,94,13,7,58,Wednesday,14,67
Hospital,Emergency,98,9,6,35,Wednesday,19,46
Government Office,General,35,4,24,16,Monday,9,60
Hospital,Customer Service,59,6,7,41,Wednesday,8,34
Hospital,Emergency,58,10,20,19,Monday,17,52
Bank,Cardiology,26,6,2,49,Wednesday,8,18
Bank,General,21,6,12,21,Tuesday,8,29
Bank,Loan Department,85,14,12,10,Saturday,13,44
Bank,General,65,6,12,53,Monday,15,74
Government Office,Emergency,39,12,5,9,Friday,12,22
Government Office,General,38,10,14,9,Thursday,16,43
Hospital,Loan Department,24,6,5,54,Wednesday,17,27
Government Office,Emergency,11,12,22,19,Saturday,20,29
Government Office,General,67,11,14,48,Monday,10,55
Hospital,Cardiology,104,3,15,48,Wednesday,11,91
Bank,Loan Department,28,13,16,11,Monday,15,32
Government Office,Cardiology,17,6,13,41,Friday,11,32
Government Office,General,44,11,15,32,Thursday,11,36
Bank,Customer Service,35,3,21,12,Thursday,9,44
Bank,General,19,11,8,43,Saturday,15,33
Hospital,Cardiology,112,3,6,46,Saturday,15,85
Bank,Customer Service,61,3,9,42,Saturday,20,62
Government Office,General,43,12,1,47,Monday,20,15
Bank,General,27,5,5,50,Monday,20,30
Bank,Emergency,36,10,17,19,Monday,13,47
Bank,Customer Service,100,9,4,14,Wednesday,15,45
Government Office,General,67,3,9,15,Monday,18,49
Government Office,Cardiology,21,4,3,21,Saturday,18,10
Hospital,Cardiology,74,3,21,5,Friday,13,88
Bank,Cardiology,26,7,10,17,Saturday,11,30
Bank,Emergency,22,1,8,13,Wednesday,8,32
Government Office,Customer Service,78,3,14,9,Saturday,14,75
Bank,Cardiology,32,2,12,52,Friday,16,56
Government Office,General,78,14,9,50,Thursday,16,52
Bank,Customer Service,29,14,2,56,Tuesday,16,22
Hospital,Cardiology,14,3,10,15,Saturday,9,18
